spot_id	x	y	clusternum
evenBo23.oddBo51	27	45	1383
evenBo43.oddBo55	7	41	961
evenBo12.oddBo43	38	53	562
evenBo23.oddBo55	27	41	845
evenBo14.oddBo17	36	79	242
evenBo30.oddBo43	20	53	996
evenBo17.oddBo40	33	56	531
evenBo31.oddBo53	19	43	1360
evenBo42.oddBo47	8	49	1040
evenBo14.oddBo40	36	56	765
evenBo18.oddBo54	32	42	1641
evenBo20.oddBo28	30	68	725
evenBo47.oddBo69	3	27	1443
evenBo10.oddBo62	40	34	411
evenBo43.oddBo21	7	75	1942
evenBo41.oddBo55	9	41	612
evenBo25.oddBo66	25	30	1428
evenBo29.oddBo7	21	89	306
evenBo23.oddBo26	27	70	898
evenBo40.oddBo59	10	37	1519
evenBo36.oddBo54	14	42	1236
evenBo42.oddBo15	8	81	1452
evenBo21.oddBo24	29	72	936
evenBo16.oddBo29	34	67	415
evenBo2.oddBo3	48	93	218
evenBo11.oddBo42	39	54	435
evenBo38.oddBo43	12	53	1184
evenBo35.oddBo69	15	27	2389
evenBo38.oddBo65	12	31	2210
evenBo20.oddBo26	30	70	1415
evenBo38.oddBo28	12	68	758
evenBo38.oddBo16	12	80	621
evenBo17.oddBo54	33	42	1913
evenBo31.oddBo58	19	38	1050
evenBo24.oddBo65	26	31	1521
evenBo33.oddBo22	17	74	1059
evenBo37.oddBo49	13	47	747
evenBo37.oddBo26	13	70	876
evenBo19.oddBo58	31	38	1727
evenBo38.oddBo36	12	60	751
evenBo13.oddBo47	37	49	587
evenBo40.oddBo52	10	44	1026
evenBo34.oddBo54	16	42	1571
evenBo19.oddBo38	31	58	1124
evenBo25.oddBo43	25	53	807
evenBo42.oddBo60	8	36	1351
evenBo50.oddBo58	0	38	761
evenBo47.oddBo20	3	76	1247
evenBo22.oddBo61	28	35	906
evenBo21.oddBo49	29	47	785
evenBo15.oddBo63	35	33	1319
evenBo33.oddBo34	17	62	617
evenBo27.oddBo53	23	43	1777
evenBo25.oddBo48	25	48	617
evenBo25.oddBo59	25	37	1658
evenBo18.oddBo66	32	30	905
evenBo47.oddBo19	3	77	1152
evenBo18.oddBo49	32	47	902
evenBo1.oddBo68	49	28	185
evenBo8.oddBo51	42	45	1152
evenBo13.oddBo30	37	66	1503
evenBo31.oddBo65	19	31	1341
evenBo12.oddBo58	38	38	1553
evenBo27.oddBo33	23	63	538
evenBo34.oddBo25	16	71	1189
evenBo47.oddBo31	3	65	343
evenBo41.oddBo65	9	31	1859
evenBo16.oddBo39	34	57	673
evenBo34.oddBo63	16	33	2407
evenBo34.oddBo48	16	48	1386
evenBo17.oddBo58	33	38	1544
evenBo11.oddBo46	39	50	530
evenBo43.oddBo47	7	49	562
evenBo32.oddBo60	18	36	1108
evenBo28.oddBo64	22	32	966
evenBo32.oddBo35	18	61	470
evenBo17.oddBo61	33	35	812
evenBo17.oddBo21	33	75	3525
evenBo44.oddBo18	6	78	1901
evenBo40.oddBo40	10	56	697
evenBo28.oddBo59	22	37	1462
evenBo12.oddBo63	38	33	966
evenBo37.oddBo57	13	39	1533
evenBo10.oddBo50	40	46	515
evenBo25.oddBo28	25	68	907
evenBo37.oddBo31	13	65	647
evenBo41.oddBo57	9	39	1393
evenBo16.oddBo20	34	76	854
evenBo14.oddBo57	36	39	1885
evenBo4.oddBo30	46	66	183
evenBo13.oddBo29	37	67	1025
evenBo44.oddBo16	6	80	1738
evenBo41.oddBo22	9	74	1312
evenBo32.oddBo37	18	59	569
evenBo47.oddBo34	3	62	477
evenBo6.oddBo40	44	56	330
evenBo8.oddBo65	42	31	528
evenBo31.oddBo37	19	59	1022
evenBo23.oddBo56	27	40	1206
evenBo47.oddBo32	3	64	434
evenBo20.oddBo35	30	61	639
evenBo35.oddBo49	15	47	1051
evenBo50.oddBo66	0	30	805
evenBo10.oddBo54	40	42	882
evenBo32.oddBo20	18	76	758
evenBo27.oddBo60	23	36	1245
evenBo18.oddBo35	32	61	661
evenBo16.oddBo48	34	48	587
evenBo36.oddBo20	14	76	524
evenBo16.oddBo40	34	56	573
evenBo3.oddBo64	47	32	132
evenBo27.oddBo52	23	44	1453
evenBo34.oddBo64	16	32	1571
evenBo36.oddBo35	14	61	871
evenBo21.oddBo68	29	28	598
evenBo41.oddBo15	9	81	1458
evenBo45.oddBo15	5	81	924
evenBo8.oddBo49	42	47	1310
evenBo32.oddBo23	18	73	296
evenBo43.oddBo64	7	32	845
evenBo13.oddBo57	37	39	1051
evenBo39.oddBo65	11	31	1378
evenBo47.oddBo21	3	75	1517
evenBo11.oddBo30	39	66	270
evenBo17.oddBo16	33	80	502
evenBo49.oddBo19	1	77	712
evenBo42.oddBo37	8	59	1152
evenBo39.oddBo66	11	30	1010
evenBo27.oddBo48	23	48	714
evenBo17.oddBo53	33	43	1427
evenBo16.oddBo66	34	30	821
evenBo20.oddBo20	30	76	437
evenBo29.oddBo39	21	57	527
evenBo6.oddBo42	44	54	855
evenBo26.oddBo41	24	55	924
evenBo10.oddBo16	40	80	236
evenBo7.oddBo38	43	58	866
evenBo22.oddBo38	28	58	817
evenBo32.oddBo57	18	39	1147
evenBo24.oddBo56	26	40	2119
evenBo48.oddBo68	2	28	867
evenBo25.oddBo54	25	42	1255
evenBo31.oddBo64	19	32	1518
evenBo31.oddBo56	19	40	1113
evenBo12.oddBo59	38	37	1310
evenBo26.oddBo57	24	39	2933
evenBo41.oddBo68	9	28	1001
evenBo36.oddBo61	14	35	1584
evenBo19.oddBo52	31	44	1010
evenBo25.oddBo65	25	31	1542
evenBo19.oddBo47	31	49	1014
evenBo7.oddBo63	43	33	291
evenBo24.oddBo54	26	42	1990
evenBo29.oddBo70	21	26	937
evenBo18.oddBo63	32	33	829
evenBo34.oddBo12	16	84	584
evenBo50.oddBo54	0	42	566
evenBo14.oddBo22	36	74	564
evenBo20.oddBo25	30	71	1204
evenBo31.oddBo66	19	30	1630
evenBo18.oddBo40	32	56	831
evenBo22.oddBo67	28	29	1450
evenBo43.oddBo58	7	38	639
evenBo21.oddBo40	29	56	789
evenBo46.oddBo19	4	77	1355
evenBo15.oddBo38	35	58	764
evenBo26.oddBo45	24	51	790
evenBo16.oddBo7	34	89	241
evenBo43.oddBo20	7	76	1812
evenBo23.oddBo65	27	31	1338
evenBo41.oddBo32	9	64	1023
evenBo21.oddBo57	29	39	1422
evenBo36.oddBo46	14	50	1121
evenBo16.oddBo42	34	54	522
