	legnum
evenBo27.oddBo71	15292
evenBo19.oddBo13	14801
evenBo2.oddBo82	646
evenBo35.oddBo74	63624
evenBo8.oddBo57	36109
evenBo42.oddBo13	8752
evenBo28.oddBo35	45074
evenBo10.oddBo17	65431
evenBo6.oddBo32	13718
evenBo42.oddBo78	95804
evenBo21.oddBo51	50796
evenBo10.oddBo43	16769
evenBo40.oddBo81	153515
evenBo38.oddBo33	40166
evenBo40.oddBo79	274214
evenBo19.oddBo71	15702
evenBo45.oddBo47	15184
evenBo8.oddBo33	12336
evenBo7.oddBo62	51571
evenBo41.oddBo71	93629
evenBo47.oddBo59	14698
evenBo5.oddBo44	21774
evenBo33.oddBo77	59850
evenBo38.oddBo60	48630
evenBo47.oddBo16	8689
evenBo14.oddBo45	33481
evenBo25.oddBo39	23238
evenBo32.oddBo5	18687
evenBo32.oddBo47	51257
evenBo18.oddBo76	60177
evenBo33.oddBo64	90489
evenBo41.oddBo45	56713
evenBo25.oddBo82	44792
evenBo7.oddBo17	29916
evenBo6.oddBo24	13782
evenBo38.oddBo24	46401
evenBo4.oddBo27	9197
evenBo18.oddBo71	42068
evenBo12.oddBo45	19173
evenBo7.oddBo46	7009
evenBo20.oddBo57	35585
evenBo34.oddBo59	247662
evenBo19.oddBo29	16368
evenBo24.oddBo56	15525
evenBo17.oddBo38	58085
evenBo45.oddBo37	32575
evenBo40.oddBo58	298267
evenBo45.oddBo82	49864
evenBo12.oddBo64	5273
evenBo27.oddBo38	30324
evenBo20.oddBo49	41681
evenBo28.oddBo47	39343
evenBo27.oddBo29	33428
evenBo9.oddBo64	186944
evenBo47.oddBo40	4741
evenBo18.oddBo69	27597
evenBo38.oddBo93	66540
evenBo26.oddBo23	18322
evenBo29.oddBo55	154329
evenBo35.oddBo16	42230
evenBo50.oddBo70	45199
evenBo29.oddBo51	76588
evenBo32.oddBo15	5621
evenBo29.oddBo37	68115
evenBo16.oddBo35	59928
evenBo20.oddBo14	6349
evenBo28.oddBo58	116463
evenBo17.oddBo37	31263
