spot_id	x	y	clusternum
evenBo47.oddBo40	3	56	301
evenBo18.oddBo69	32	27	612
evenBo38.oddBo93	12	3	1361
evenBo26.oddBo23	24	73	341
evenBo29.oddBo55	21	41	1391
evenBo35.oddBo16	15	80	1077
evenBo50.oddBo70	0	26	675
evenBo29.oddBo51	21	45	972
evenBo32.oddBo15	18	81	536
evenBo29.oddBo37	21	59	1078
evenBo16.oddBo35	34	61	831
evenBo20.oddBo14	30	82	466
evenBo28.oddBo58	22	38	1221
evenBo17.oddBo37	33	59	880
evenBo39.oddBo41	11	55	932
evenBo50.oddBo69	0	27	800
evenBo38.oddBo86	12	10	977
evenBo5.oddBo42	45	54	572
evenBo31.oddBo71	19	25	1818
evenBo15.oddBo55	35	41	437
evenBo29.oddBo5	21	91	1456
evenBo24.oddBo45	26	51	508
evenBo38.oddBo41	12	55	1015
evenBo9.oddBo63	41	33	1230
evenBo40.oddBo17	10	79	696
evenBo26.oddBo38	24	58	913
evenBo42.oddBo43	8	53	946
evenBo30.oddBo20	20	76	729
evenBo36.oddBo42	14	54	999
evenBo4.oddBo25	46	71	163
evenBo27.oddBo54	23	42	774
evenBo19.oddBo27	31	69	758
evenBo16.oddBo69	34	27	847
evenBo39.oddBo33	11	63	829
evenBo12.oddBo65	38	31	635
evenBo46.oddBo74	4	22	1032
evenBo25.oddBo30	25	66	875
evenBo26.oddBo47	24	49	580
evenBo7.oddBo15	43	81	202
evenBo38.oddBo82	12	14	1200
evenBo9.oddBo25	41	71	373
evenBo34.oddBo40	16	56	862
evenBo29.oddBo9	21	87	763
evenBo29.oddBo69	21	27	2156
evenBo24.oddBo53	26	43	885
evenBo31.oddBo69	19	27	2176
evenBo33.oddBo87	17	9	336
evenBo9.oddBo44	41	52	919
evenBo32.oddBo60	18	36	1189
evenBo34.oddBo38	16	58	1175
evenBo41.oddBo69	9	27	1074
evenBo38.oddBo63	12	33	2120
evenBo35.oddBo71	15	25	846
evenBo41.oddBo66	9	30	1252
evenBo46.oddBo72	4	24	874
evenBo27.oddBo24	23	72	306
evenBo27.oddBo3	23	93	992
evenBo48.oddBo15	2	81	234
evenBo23.oddBo69	27	27	510
evenBo35.oddBo84	15	12	943
evenBo33.oddBo7	17	89	545
evenBo23.oddBo63	27	33	580
evenBo29.oddBo45	21	51	876
evenBo15.oddBo36	35	60	639
evenBo46.oddBo64	4	32	509
evenBo11.oddBo73	39	23	469
evenBo18.oddBo40	32	56	413
evenBo47.oddBo74	3	22	944
evenBo8.oddBo62	42	34	873
evenBo11.oddBo44	39	52	399
evenBo49.oddBo80	1	16	402
evenBo39.oddBo23	11	73	627
evenBo47.oddBo63	3	33	1042
evenBo27.oddBo70	23	26	1053
evenBo18.oddBo7	32	89	520
evenBo8.oddBo21	42	75	654
evenBo41.oddBo28	9	68	962
evenBo34.oddBo44	16	52	1344
evenBo19.oddBo4	31	92	1008
evenBo29.oddBo43	21	53	1065
evenBo30.oddBo31	20	65	575
evenBo33.oddBo41	17	55	1139
evenBo10.oddBo13	40	83	299
